DATE,Alkoholunfälle,Fluchtunfälle,Verkehrsunfälle
2004-01-01,42.0,828.0,2969.0
2004-02-01,48.0,723.0,2728.0
2004-03-01,44.0,817.0,3271.0
2004-04-01,37.0,875.0,3183.0
2004-05-01,55.0,867.0,3378.0
2004-06-01,58.0,859.0,3229.0
2004-07-01,67.0,970.0,3760.0
2004-08-01,58.0,784.0,2926.0
2004-09-01,79.0,957.0,3663.0
2004-10-01,68.0,1022.0,3716.0
2004-11-01,51.0,903.0,3449.0
2004-12-01,52.0,942.0,3792.0
2005-01-01,48.0,749.0,2788.0
2005-02-01,40.0,961.0,3461.0
2005-03-01,40.0,1115.0,3560.0
2005-04-01,40.0,937.0,3320.0
2005-05-01,48.0,902.0,3321.0
2005-06-01,57.0,901.0,3499.0
2005-07-01,63.0,951.0,3631.0
2005-08-01,48.0,811.0,2965.0
2005-09-01,76.0,1086.0,3921.0
2005-10-01,57.0,962.0,3503.0
2005-11-01,42.0,845.0,3205.0
2005-12-01,41.0,817.0,3549.0
2006-01-01,44.0,708.0,2893.0
2006-02-01,50.0,698.0,2901.0
2006-03-01,40.0,1138.0,4165.0
2006-04-01,40.0,750.0,2874.0
2006-05-01,53.0,476.0,3032.0
2006-06-01,51.0,565.0,2853.0
2006-07-01,64.0,845.0,3611.0
2006-08-01,48.0,774.0,2993.0
2006-09-01,64.0,718.0,3233.0
2006-10-01,45.0,599.0,3286.0
2006-11-01,48.0,494.0,3073.0
2006-12-01,52.0,864.0,3419.0
2007-01-01,36.0,699.0,2735.0
2007-02-01,32.0,612.0,2643.0
2007-03-01,38.0,411.0,2836.0
2007-04-01,49.0,821.0,3292.0
2007-05-01,63.0,858.0,3529.0
2007-06-01,51.0,804.0,3225.0
2007-07-01,65.0,935.0,3622.0
2007-08-01,44.0,759.0,2943.0
2007-09-01,54.0,797.0,3414.0
2007-10-01,55.0,873.0,3695.0
2007-11-01,36.0,868.0,3444.0
2007-12-01,37.0,690.0,3184.0
2008-01-01,32.0,727.0,2945.0
2008-02-01,30.0,793.0,3171.0
2008-03-01,30.0,763.0,2910.0
2008-04-01,25.0,837.0,3339.0
2008-05-01,57.0,871.0,3428.0
2008-06-01,56.0,859.0,3374.0
2008-07-01,52.0,832.0,3500.0
2008-08-01,44.0,760.0,2870.0
2008-09-01,49.0,747.0,3271.0
2008-10-01,45.0,874.0,3683.0
2008-11-01,27.0,625.0,2983.0
2008-12-01,35.0,657.0,2888.0
2009-01-01,23.0,512.0,2482.0
2009-02-01,32.0,802.0,3480.0
2009-03-01,14.0,607.0,2744.0
2009-04-01,45.0,776.0,2953.0
2009-05-01,57.0,768.0,3240.0
2009-06-01,31.0,678.0,2876.0
2009-07-01,44.0,991.0,3622.0
2009-08-01,35.0,752.0,2749.0
2009-09-01,49.0,846.0,3252.0
2009-10-01,35.0,953.0,3567.0
2009-11-01,31.0,835.0,3294.0
2009-12-01,34.0,747.0,3202.0
2010-01-01,19.0,613.0,2346.0
2010-02-01,23.0,683.0,2539.0
2010-03-01,31.0,829.0,3309.0
2010-04-01,33.0,938.0,3202.0
2010-05-01,34.0,743.0,2974.0
2010-06-01,39.0,814.0,3193.0
2010-07-01,48.0,932.0,3712.0
2010-08-01,40.0,794.0,2843.0
2010-09-01,54.0,955.0,3524.0
2010-10-01,27.0,910.0,3500.0
2010-11-01,28.0,827.0,3329.0
2010-12-01,26.0,861.0,3413.0
2011-01-01,25.0,726.0,2775.0
2011-02-01,25.0,760.0,2903.0
2011-03-01,22.0,883.0,3523.0
2011-04-01,43.0,835.0,3529.0
2011-05-01,43.0,1034.0,4143.0
2011-06-01,27.0,783.0,3212.0
2011-07-01,39.0,951.0,4074.0
2011-08-01,34.0,790.0,3322.0
2011-09-01,36.0,906.0,3730.0
2011-10-01,26.0,916.0,3830.0
2011-11-01,40.0,842.0,3567.0
2011-12-01,37.0,832.0,3506.0
2012-01-01,21.0,713.0,3176.0
2012-02-01,18.0,714.0,3102.0
2012-03-01,21.0,946.0,3739.0
2012-04-01,34.0,919.0,3667.0
2012-05-01,54.0,1035.0,4114.0
2012-06-01,43.0,1041.0,4018.0
2012-07-01,56.0,1045.0,4281.0
2012-08-01,55.0,887.0,3452.0
2012-09-01,49.0,921.0,3962.0
2012-10-01,32.0,1090.0,4146.0
2012-11-01,30.0,984.0,3839.0
2012-12-01,27.0,810.0,3395.0
2013-01-01,17.0,796.0,3316.0
2013-02-01,15.0,773.0,3467.0
2013-03-01,21.0,906.0,3712.0
2013-04-01,28.0,1038.0,4008.0
2013-05-01,33.0,848.0,3703.0
2013-06-01,37.0,1055.0,4284.0
2013-07-01,42.0,1138.0,4641.0
2013-08-01,39.0,791.0,3387.0
2013-09-01,47.0,1000.0,4130.0
2013-10-01,31.0,1074.0,4533.0
2013-11-01,35.0,939.0,4043.0
2013-12-01,32.0,828.0,3764.0
2014-01-01,21.0,778.0,3410.0
2014-02-01,17.0,742.0,3315.0
2014-03-01,37.0,993.0,4027.0
2014-04-01,35.0,946.0,3840.0
2014-05-01,28.0,925.0,4346.0
2014-06-01,31.0,880.0,3833.0
2014-07-01,35.0,1029.0,4443.0
2014-08-01,32.0,802.0,3379.0
2014-09-01,43.0,936.0,4137.0
2014-10-01,36.0,1042.0,4251.0
2014-11-01,42.0,943.0,3904.0
2014-12-01,25.0,830.0,3919.0
2015-01-01,22.0,781.0,3326.0
2015-02-01,23.0,713.0,3090.0
2015-03-01,23.0,908.0,3888.0
2015-04-01,29.0,966.0,4022.0
2015-05-01,50.0,940.0,3915.0
2015-06-01,39.0,952.0,3898.0
2015-07-01,49.0,1176.0,4729.0
2015-08-01,49.0,864.0,3431.0
2015-09-01,45.0,1007.0,4015.0
2015-10-01,25.0,1110.0,4467.0
2015-11-01,30.0,991.0,3992.0
2015-12-01,27.0,950.0,3862.0
2016-01-01,21.0,777.0,3297.0
2016-02-01,10.0,775.0,3383.0
2016-03-01,20.0,898.0,3653.0
2016-04-01,27.0,998.0,4209.0
2016-05-01,25.0,850.0,3833.0
2016-06-01,30.0,1018.0,4260.0
2016-07-01,35.0,1095.0,4478.0
2016-08-01,34.0,958.0,3400.0
2016-09-01,29.0,958.0,4289.0
2016-10-01,30.0,1022.0,4297.0
2016-11-01,20.0,960.0,3998.0
2016-12-01,20.0,870.0,3700.0
2017-01-01,19.0,690.0,3320.0
2017-02-01,22.0,846.0,3223.0
2017-03-01,36.0,1060.0,4106.0
2017-04-01,26.0,895.0,3533.0
2017-05-01,29.0,1070.0,4314.0
2017-06-01,41.0,948.0,3818.0
2017-07-01,52.0,1064.0,4355.0
2017-08-01,30.0,831.0,3267.0
2017-09-01,47.0,1009.0,4017.0
2017-10-01,32.0,1052.0,4198.0
2017-11-01,33.0,925.0,3809.0
2017-12-01,42.0,873.0,3494.0
2018-01-01,22.0,860.0,3328.0
2018-02-01,24.0,774.0,3109.0
2018-03-01,32.0,954.0,3796.0
2018-04-01,25.0,1010.0,4016.0
2018-05-01,34.0,994.0,3953.0
2018-06-01,39.0,1034.0,4284.0
2018-07-01,51.0,1151.0,4547.0
2018-08-01,40.0,813.0,3206.0
2018-09-01,36.0,1102.0,4124.0
2018-10-01,43.0,1127.0,4468.0
2018-11-01,31.0,929.0,4027.0
2018-12-01,21.0,900.0,3550.0
2019-01-01,22.0,927.0,3440.0
2019-02-01,28.0,883.0,3442.0
2019-03-01,34.0,1005.0,3940.0
2019-04-01,36.0,967.0,3781.0
2019-05-01,39.0,1014.0,4046.0
2019-06-01,40.0,994.0,3727.0
2019-07-01,48.0,1187.0,4763.0
2019-08-01,31.0,820.0,3214.0
2019-09-01,47.0,996.0,4042.0
2019-10-01,45.0,1088.0,4348.0
2019-11-01,29.0,967.0,3805.0
2019-12-01,35.0,925.0,3462.0
2020-01-01,28.0,791.0,3139.0
2020-02-01,40.0,870.0,3271.0
2020-03-01,27.0,744.0,2825.0
2020-04-01,26.0,607.0,2251.0
2020-05-01,40.0,859.0,3193.0
2020-06-01,49.0,905.0,3380.0
2020-07-01,58.0,1010.0,4031.0
2020-08-01,46.0,735.0,3007.0
2020-09-01,46.0,948.0,3659.0
2020-10-01,34.0,997.0,3867.0
2020-11-01,23.0,864.0,3150.0
2020-12-01,13.0,694.0,2661.0
